# Copyright (c) 2026 Joseph Potashnik.
# Licensed under the MIT License. See LICENSE.txt for details.
# Samples of Target EnglishFragmentWithADJAmbiguousPPAdunction.txt #
Count	Sentence
20	Who cried
13	the bells fell
13	David kissed John
12	Who for John ran
11	Mary knows Who fell
9	Mary went from Who
10	Mary fell for Mary
10	a child hated Who
13	David kissed the child
10	a cheap bells fell
14	David says Mary kissed John
7	the big pretty woman ran
5	Mary fell to a child
6	Who arrived for the child
6	John says the bells fell
10	Who from Who loved David
8	the woman from Who fell
9	John for a girl fell
10	Mary kissed Mary from Mary
15	a child toll from Who
12	the pretty child kissed Who
15	David loved the pretty man
9	a man kissed a woman
7	a man knows John ran
8	a child cried for John
6	David fell from a pretty girl
15	John from David kissed a woman
8	Mary says the girl loved David
7	Mary kissed a cheap cheap man
15	David says John cried for John
6	Mary from Who arrived to Who
7	the girl toll for the woman
4	David knows John for Who cried
3	the big pretty cheap man fell
6	the man for Mary kissed John
7	the pretty woman for John cried
18	John toll to Mary for Who
9	Who from Who knows Mary cried
5	Mary knows Who went from John
7	a woman to a child fell
8	a big bells ran for Mary
6	the pretty bells knows Who ran
9	John hated the woman from David
8	the child knows the woman fell
7	a girl hated a big child
19	John for Mary to John fell
9	the girl ran from the bells
20	Who loved David for the woman
13	John went to the pretty girl
8	Who says John knows John ran
11	a bells kissed Mary from David
7	David knows a cheap girl ran
7	Who to a bells kissed Mary
11	Who says David hated a bells
5	a pretty girl went to Mary
6	a cheap big bells loved John
8	the child knows John loved Who
11	Who cried for Who to David
12	David to the cheap bells fell
3	the cheap bells loved the girl
3	John from Mary cried from Mary
11	Who from the woman from John ran
13	John ran to David from a man
9	John knows Mary to a child cried
15	John says Who ran for the bells
10	the pretty cheap man fell to David
5	Mary to David knows Who loved Mary
10	a child says John says John cried
5	Mary says Mary says Who kissed John
7	Mary kissed Mary to the pretty man
12	the woman toll from Who for Mary
8	a big man fell from a bells
9	a cheap pretty bells says John fell
2	John says the woman says David fell
14	John for Mary kissed John for David
6	Who says a bells went for David
33	David kissed Who from John for Who
14	Mary went for David to a man
8	David from David knows a child fell
10	Mary went for the cheap pretty girl
14	a man kissed a girl from David
3	the woman fell to a pretty girl
5	the pretty girl toll from the woman
3	the big big bells to Who fell
9	the girl loved David for a child
7	a cheap man kissed a cheap man
2	the pretty cheap big big girl cried
11	Mary for John loved a cheap child
7	Who to the child loved a woman
12	Mary toll for the man from David
6	John says a man loved a girl
7	John says the man for David fell
6	Mary for the cheap pretty man fell
6	the pretty bells from the bells cried
7	a pretty cheap bells hated the child
10	Mary kissed the pretty man for John
5	David ran to a big pretty child
7	the woman cried to Who to Who
11	a cheap girl kissed John to David
13	John hated the woman from a child
4	the cheap pretty cheap child loved John
20	Mary knows Who loved David from David
2	a man says Who loved a man
5	Who to John ran for a bells
9	the pretty child to David loved John
13	Who to a pretty man hated John
7	Who says David arrived for the child
5	the cheap girl says David kissed Who
6	a big bells says the girl fell
7	a child kissed a cheap cheap man
10	John from a girl cried to David
5	David for Mary went from a woman
6	Mary says David loved the cheap bells
11	the girl to a big woman ran
6	a woman to Mary kissed the man
5	the cheap cheap child arrived from John
6	John knows a pretty pretty bells fell
5	John to Who from Who hated John
6	David knows a man ran to Mary
16	Mary knows a pretty girl hated Who
6	John knows Who says the woman cried
8	Mary to a child says Mary ran
10	the man for Who toll to Mary
9	Who for a bells toll to David
13	David for Who for the girl ran
2	a man for Mary knows Mary fell
17	Mary ran to the man for John
8	a girl says the girl kissed Who
5	the child to the child kissed David
3	the woman knows David toll for Mary
7	the man arrived from a pretty girl
14	a woman from Mary to Mary fell
5	a woman from Mary cried to John
6	Mary says John from David loved John
6	a woman says David from John ran
15	the child knows David cried from Mary
5	Mary hated the pretty pretty pretty child
5	the woman knows the pretty girl fell
11	the man for the big child loved John
3	David says Who toll to the big man
8	Mary says Mary knows Who kissed the bells
10	David knows John knows Who went from Mary
9	the child knows the child loved the child
7	a big man cried for the big woman
10	Mary from a cheap man kissed the child
10	Who knows David for Who fell to Mary
22	the pretty girl fell for Who for John
8	Who knows David says a child kissed Who
15	David from a man to Who loved John
23	Mary hated John from David for a bells
14	Who cried from the man to a woman
8	Mary fell for John to the pretty woman
7	a cheap bells for the cheap girl cried
8	the big cheap cheap cheap girl hated John
4	the woman from the woman ran to John
3	a cheap pretty cheap child cried for David
15	John says John for David for David ran
11	the child went from the girl for Who
15	the child hated the pretty child from Who
6	Mary for the girl cried to a girl
7	the cheap girl from a child hated David
7	a cheap woman knows a cheap woman fell
6	John from the man knows a bells fell
11	the woman arrived for David to the bells
16	a big child from Mary for John cried
2	John knows a child from John loved John
8	the big bells says David for Who fell
9	a woman says a child fell for Mary
12	Mary loved a child to a pretty man
11	Mary arrived to the woman for a girl
5	the woman says Who hated the big child
11	Mary for the child loved Who to John
8	David says a big woman to Mary cried
20	Mary knows Who loved the bells for David
15	Mary to John for John fell to John
8	the big cheap child went from a girl
5	a cheap girl toll for David from David
9	the cheap girl to David cried from Mary
3	John from Who hated a big big man
7	Mary says the girl to the bells fell
27	Who loved Mary from a child from Mary
5	Who for John toll for Mary from David
11	John says the child loved Who for John
12	John for a child loved the big man
7	the bells says Mary says Who loved John
6	Mary to Who fell for a cheap bells
7	the man knows Mary arrived from the child
8	the big cheap big woman went for Who
11	Who says Mary from David toll to Mary
7	David to John says Who arrived for David
14	Mary says a girl cried to the girl
7	the cheap big child says David loved David
9	Mary went from the cheap girl from John
8	the girl says a pretty cheap woman ran
9	David kissed the cheap big big big girl
12	John loved David for a cheap big child
15	the man from David from the girl cried
11	David from John says Who ran from David
7	the man toll from a cheap cheap girl
3	David knows David to John kissed a child
9	a child says David to David loved Who
6	the bells to Who fell for a girl
10	a man loved John to a cheap woman
7	a big child arrived for a pretty bells
6	a woman for the girl loved the child
12	John for the pretty girl knows David ran
6	the man from Mary toll from a woman
10	Mary for a girl toll from the child
3	a pretty man knows John loved the bells
12	the woman from Who from Mary kissed Mary
5	a cheap bells says David went for Mary
12	David from Mary to David went for Mary
13	the child for John loved John to David
14	John from Mary from a bells hated John
37	John ran to John to Who for Mary
4	a child for Mary kissed a big child
9	Who fell from a big bells to David
5	a big pretty man ran from the woman
7	Mary knows a big child fell for Who
14	David to a big child to Who ran
13	Who to a woman from the man ran
14	a girl fell from the woman for John
29	Mary loved the woman from David for David
13	John from Who kissed the man to David
10	a big bells knows John says Mary fell
5	David for John toll to the pretty bells
7	the big bells loved the big big bells
4	Mary says a big big child loved Who
4	Who says the big bells knows John fell
2	a bells says a man arrived from John
8	a cheap man for John knows John cried
5	Who knows John for David knows Mary ran
5	the cheap cheap big woman for Who cried
7	a man ran to a big pretty child
5	the man from a big pretty woman cried
3	the girl kissed the pretty pretty cheap child
9	Mary to Mary from David kissed a man
30	Who to David to Mary for Who fell
4	Mary knows John to a big child fell
6	Who says Mary knows Who knows David fell
5	the cheap pretty woman for David hated Mary
21	Who knows Who kissed Mary for a child
9	Who for Mary knows Who says David cried
18	Mary for David kissed David to a woman
3	Who from the child knows John loved Who
12	a bells from the bells to Who fell
16	David says Who ran to the pretty girl
17	Mary says John arrived for Mary for Mary
9	Mary from Who cried from Who to David
7	John went from a big pretty cheap child
6	a man says Who for a bells fell
28	a girl loved David from David for Mary
13	a girl hated the child to a woman
19	the pretty pretty bells hated David for Mary
15	David from Who for Who knows David cried
7	a girl says Who cried for a child
7	a child says the pretty bells kissed Mary
5	John says the cheap big big man cried
5	John says the girl knows Who kissed Mary
4	Who knows a pretty girl arrived for Who
2	the girl for a man arrived to David
4	a girl for the bells knows John ran
11	a cheap bells kissed the child to Who
5	Mary to a pretty pretty pretty child ran
